     INDEX             SIGMA               VAI              VFIT
       311      0.583510E+00     -0.186051E+03     -0.237818E+03
       312      0.500035E+00     -0.918576E-01     -0.167009E+01
       313      0.527279E+00     -0.672550E+02     -0.448854E+02
       314      0.500065E+00     -0.169637E+00     -0.167010E+01
       315      0.562680E+00     -0.144815E+03     -0.181652E+03
       316      0.499978E+00      0.582561E-01     -0.166211E+01
       317      0.500181E+00     -0.471030E+00     -0.166991E+01
       318      0.500414E+00     -0.107434E+01      0.546838E+02
       319      0.500214E+00     -0.556873E+00     -0.170705E+01
       320      0.135085E+00      0.351178E+04      0.264581E+04
       321      0.508900E+00     -0.227341E+02     -0.138802E+02
       322      0.499908E+00      0.238917E+00     -0.167179E+01
       323      0.505537E+00     -0.142383E+02     -0.189005E+02
       324      0.542430E+00     -0.101689E+03     -0.788404E+02
       325      0.500232E+00     -0.603336E+00     -0.167484E+01
       326      0.551340E+00     -0.121053E+03     -0.103384E+03
       327      0.515925E+00     -0.401260E+02     -0.558562E+02
       328      0.499973E+00      0.702990E-01     -0.205963E+01
       329      0.214188E+00      0.173472E+04      0.140715E+04
       330      0.500515E+00     -0.133874E+01     -0.168239E+01
       331      0.580342E+00     -0.179971E+03     -0.132863E+03
       332      0.529711E+00     -0.729157E+02     -0.795536E+02
       333      0.500719E+00     -0.186657E+01     -0.166853E+01
       334      0.225464E+00      0.158294E+04      0.192453E+04
       335      0.506266E+00     -0.160904E+02     -0.232430E+01
       336      0.103848E+00      0.495914E+04      0.481456E+04
       337      0.508527E+00     -0.217993E+02     -0.870869E+02
       338      0.499651E+00      0.907961E+00     -0.164457E+01
       339      0.861935E-01      0.624117E+04      0.694781E+04
       340      0.500447E+00     -0.116040E+01     -0.165829E+01
       341      0.499614E+00      0.100378E+01     -0.171685E+01
       342      0.567862E+00     -0.155355E+03     -0.118238E+03
       343      0.207194E+00      0.183716E+04      0.193163E+04
       344      0.500319E+00     -0.829707E+00     -0.167275E+01
       345      0.500685E+00     -0.177908E+01     -0.185518E+01
       346      0.803021E-01      0.679443E+04      0.612995E+04
       347      0.499866E+00      0.347281E+00     -0.166248E+01
       348      0.500164E+00     -0.425393E+00     -0.166992E+01
       349      0.429623E+00      0.212955E+03      0.319951E+03
       350      0.499817E+00      0.476844E+00     -0.170141E+01
       351      0.568305E+00     -0.156248E+03     -0.174454E+03
       352      0.500382E+00     -0.991241E+00     -0.159080E+01
       353      0.498287E+00      0.447020E+01      0.114049E+00
       354      0.502148E+00     -0.556210E+01     -0.109580E+01
       355      0.538960E+00     -0.939726E+02     -0.813409E+02
       356      0.555654E+00     -0.130208E+03     -0.177105E+03
       357      0.556853E+00     -0.132727E+03     -0.133557E+03
       358      0.215635E+00      0.171435E+04      0.145106E+04
       359      0.506783E+00     -0.174010E+02     -0.171859E+02
       360      0.499945E+00      0.143363E+00     -0.167018E+01
       361      0.500257E+00     -0.668837E+00     -0.166292E+01
       362      0.500018E+00     -0.461092E-01     -0.166786E+01
       363      0.499988E+00      0.301453E-01     -0.166779E+01
       364      0.499915E+00      0.220624E+00     -0.166792E+01
       365      0.499122E+00      0.228687E+01     -0.736763E+01
       366      0.214497E+00      0.173035E+04      0.209325E+04
       367      0.499768E+00      0.604169E+00     -0.163800E+01
       368      0.500053E+00     -0.137127E+00     -0.184077E+01
       369      0.500135E+00     -0.351575E+00     -0.166986E+01
       370      0.499535E+00      0.121025E+01     -0.507773E+01
       371      0.499974E+00      0.687549E-01     -0.166421E+01
       372      0.500203E+00     -0.528406E+00     -0.167003E+01
       373      0.518962E+00     -0.475007E+02     -0.453477E+02
       374      0.101666E+00      0.509348E+04      0.554282E+04
       375      0.500205E+00     -0.531776E+00     -0.166999E+01
       376      0.562151E+00     -0.143727E+03     -0.101363E+03
       377      0.500149E+00     -0.387728E+00     -0.167003E+01
       378      0.471135E+00      0.796478E+02      0.162810E+03
       379      0.500215E+00     -0.558085E+00     -0.167014E+01
       380      0.500230E+00     -0.596741E+00     -0.206985E+01
       381      0.500237E+00     -0.615663E+00     -0.166991E+01
       382      0.507169E+00     -0.183769E+02     -0.665988E+01
       383      0.500792E+00     -0.205540E+01     -0.164769E+01
       384      0.503552E+00     -0.917101E+01     -0.496347E+00
       385      0.501523E+00     -0.394767E+01     -0.200746E+01
       386      0.500174E+00     -0.452579E+00     -0.167192E+01
       387      0.500201E+00     -0.521458E+00     -0.167003E+01
       388      0.526336E+00     -0.650475E+02     -0.102151E+03
       389      0.499634E+00      0.951606E+00     -0.160951E+01
       390      0.501359E+00     -0.352321E+01     -0.268039E+01
       391      0.205903E+00      0.185683E+04      0.156320E+04
       392      0.499900E+00      0.261063E+00     -0.166977E+01
       393      0.504855E+00     -0.125015E+02     -0.195408E+02
       394      0.500009E+00     -0.233823E-01     -0.162817E+01
       395      0.501169E+00     -0.303213E+01     -0.169164E+01
       396      0.529589E-01      0.109737E+05      0.103158E+05
       397      0.499982E+00      0.464900E-01     -0.167006E+01
       398      0.500040E+00     -0.102951E+00     -0.167000E+01
       399      0.501951E+00     -0.505416E+01     -0.135929E+01
       400      0.498968E+00      0.268950E+01      0.532043E+00
       401      0.501104E+00     -0.286530E+01     -0.822485E+00
       402      0.141624E+00      0.328961E+04      0.338661E+04
       403      0.502415E+00     -0.624936E+01     -0.454370E+01
